company,account,amount,date,units,fund,,,,,,,,,A Share,,Units of Bod,Value of Exchange,,Total Mid A Units,,GN_PY_UNTS,GN_NW_UNTS,GN_TR_UNTS,GN_DT_UNTS,
VIR,5806052,0,3/11/2011,-215.4148,gn,,,,,,,,,,,752.8414144,-3651.28086,,538.537,,538.537,0,0,0,
VIR,5790390,0,3/11/2011,-1079.0848,gn,,,,,,,,,,,3771.234507,-18290.48736,,2697.712,,2697.712,0,0,0,
VIR,5803971,0,3/11/2011,-33.238,gn,,,,,,,,,,,116.1616701,-563.3841,,83.095,,83.095,0,0,0,
VIR,5560457,0,3/11/2011,-35.572,gn,,,,,,,,,,,124.3186392,-602.9454,,84.065,,84.065,0,0,0,
VIR,5567513,0,3/11/2011,-54.9944,gn,,,,,,,,,,,192.1969237,-932.15508,,137.486,,137.486,0,0,0,
VIR,5662343,0,3/11/2011,-477.0748,gn,,,,,,,,,,,1667.302652,-8086.41786,,1192.687,,1192.687,0,0,0,
VIR,5641067,0,3/11/2011,-46.0748,gn,,,,,,,,,,,161.024301,-780.96786,,115.187,,115.187,0,0,0,
VIR,5806392,0,3/11/2011,-351.1552,gn,,,,,,,,,,,1227.233122,-5952.08064,,877.888,,990.9,0,-113.012,0,
VIR,5642158,0,3/11/2011,-478.1088,gn,,,,,,,,,,,1670.916322,-8103.94416,,1195.272,,1195.272,0,0,0,
VIR,5790545,0,3/11/2011,-355.4696,gn,,,,,,,,,,,1242.311282,-6025.20972,,888.674,,888.674,0,0,0,
VIR,5645943,0,3/11/2011,-234.4628,gn,,,,,,,,,,,819.4112289,-3974.14446,,586.157,,1047.128,-460.971,0,0,
VIR,5560548,0,3/11/2011,-113.028,gn,,,,,,,,,,,395.0153814,-1915.8246,,282.57,,243.222,39.348,0,0,
VIR,5435430,0,3/11/2011,-34.2608,gn,,,,,,,,,,,119.7361979,-580.72056,,85.652,,85.652,0,0,0,
VIR,5803351,0,3/11/2011,-1306.738,gn,,,,,,,,,,,4566.847237,-22149.2091,,3266.845,,3306.096,-39.251,0,0,
VIR,5809107,0,3/11/2011,-41.3544,gn,,,,,,,,,,,144.527233,-700.95708,,103.386,,105.185,-1.799,0,0,
VIR,5649989,0,3/11/2011,-117.5124,gn,,,,,,,,,,,410.687666,-1991.83518,,293.781,,279.347,14.434,0,0,
VIR,5652200,0,3/11/2011,-34.0164,gn,,,,,,,,,,,118.8820577,-576.57798,,85.041,,85.041,0,0,0,
