Account,Fund,Type,Date,Company,Account,Units
1301075694,gn,,6/10/2011,SBL,-104.52,0
1301076320,gn,,6/10/2011,SBL,-104.52,0
1301077157,gn,,6/10/2011,SBL,-104.52,0
1301077336,gn,,6/10/2011,SBL,-104.52,0
1301078439,gn,,6/10/2011,SBL,-104.52,0
1301079616,gn,,6/10/2011,SBL,-104.52,0
1301082954,gn,,6/10/2011,SBL,-104.52,0
1301083236,gn,,6/10/2011,SBL,-104.52,0
1301083237,gn,,6/10/2011,SBL,-104.52,0
1301086638,gn,,6/10/2011,SBL,-104.52,0
1301086719,gn,,6/10/2011,SBL,-104.52,0
1301087799,gn,,6/10/2011,SBL,-104.52,0
1301088592,gn,,6/10/2011,SBL,-104.52,0
1301089512,gn,,6/10/2011,SBL,-104.52,0
1301089659,gn,,6/10/2011,SBL,-104.52,0
1301089780,gn,,6/10/2011,SBL,-104.52,0
1301089793,gn,,6/10/2011,SBL,-104.52,0
1301089799,gn,,6/10/2011,SBL,-104.52,0
1301089934,gn,,6/10/2011,SBL,-104.52,0
1301089935,gn,,6/10/2011,SBL,-104.52,0
1301090610,gn,,6/10/2011,SBL,-104.52,0
1301091725,gn,,6/10/2011,SBL,-104.52,0
1301091726,gn,,6/10/2011,SBL,-104.52,0
1301093479,gn,,6/10/2011,SBL,-104.52,0
1301093480,gn,,6/10/2011,SBL,-104.52,0
1301093482,gn,,6/10/2011,SBL,-104.52,0
1301093999,gn,,6/10/2011,SBL,-104.52,0
1301095329,gn,,6/10/2011,SBL,-104.52,0
1301096459,gn,,6/10/2011,SBL,-104.52,0
1301097193,gn,,6/10/2011,SBL,-104.52,0
1301098136,gn,,6/10/2011,SBL,-104.52,0
1301099711,gn,,6/10/2011,SBL,-104.52,0
1301101238,gn,,6/10/2011,SBL,-104.52,0
1301101567,gn,,6/10/2011,SBL,-104.52,0
1301101570,gn,,6/10/2011,SBL,-104.52,0
1301101571,gn,,6/10/2011,SBL,-104.52,0
1301101594,gn,,6/10/2011,SBL,-104.52,0
1301102003,gn,,6/10/2011,SBL,-104.52,0
1301104510,gn,,6/10/2011,SBL,-104.52,0
1301109676,gn,,6/10/2011,SBL,-104.52,0
1301110325,gn,,6/10/2011,SBL,-104.52,0
1301110986,gn,,6/10/2011,SBL,-104.52,0
1301111106,gn,,6/10/2011,SBL,-104.52,0
1301111217,gn,,6/10/2011,SBL,-104.52,0
1301111830,gn,,6/10/2011,SBL,-104.52,0
1301112183,gn,,6/10/2011,SBL,-104.52,0
1301112244,gn,,6/10/2011,SBL,-104.52,0
1301112269,gn,,6/10/2011,SBL,-104.52,0
1301112514,gn,,6/10/2011,SBL,-104.52,0
1301112561,gn,,6/10/2011,SBL,-104.52,0
1301112562,gn,,6/10/2011,SBL,-104.52,0
1301114000,gn,,6/10/2011,SBL,-104.52,0
1301114362,gn,,6/10/2011,SBL,-104.52,0
1301114363,gn,,6/10/2011,SBL,-104.52,0
1301114707,gn,,6/10/2011,SBL,-104.52,0
1301115704,gn,,6/10/2011,SBL,-104.52,0
1301116258,gn,,6/10/2011,SBL,-104.52,0
1301116306,gn,,6/10/2011,SBL,-104.52,0
1301117336,gn,,6/10/2011,SBL,-104.52,0
1301118710,gn,,6/10/2011,SBL,-104.52,0
1301119337,gn,,3/4/2011,SBL,-104.52,0
1301120009,gn,,6/10/2011,SBL,-104.52,0
1301123888,gn,,6/10/2011,SBL,-104.52,0
1301123889,gn,,6/10/2011,SBL,-104.52,0
1301124068,gn,,6/10/2011,SBL,-104.52,0
1301126662,gn,,6/10/2011,SBL,-104.52,0
1301127001,gn,,6/10/2011,SBL,-104.52,0
1301127002,gn,,6/10/2011,SBL,-104.52,0
1301127421,gn,,6/10/2011,SBL,-104.52,0
1301129622,gn,,6/10/2011,SBL,-104.52,0
1301131684,gn,,6/10/2011,SBL,-104.52,0
1301131723,gn,,6/10/2011,SBL,-104.52,0
1301132161,gn,,6/10/2011,SBL,-104.52,0
1301133912,gn,,6/10/2011,SBL,-104.52,0
